Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
666708fdd8c0b3bac894316f,663a4780a52e3662ef14efbd,AWAITING REVIEW,Not Applicable,2024-06-10T14:09:10.273000Z,2024-06-10T14:18:42.647000Z,,2024-06-10T14:18:43.118131Z,573,CYLPZ8FB,20,25,Female,White,Canada,Canada,Canada,English,No,Part-Time
6667093749a4166f73a15996,60fd5ac7b32b85199260f069,AWAITING REVIEW,Not Applicable,2024-06-10T14:10:10.628000Z,2024-06-10T14:17:43.620000Z,,2024-06-10T14:18:07.311459Z,453,CYLPZ8FB,19,23,Female,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
6667094b78796da4f5dcae3b,5ed23a7345824f0184477d6c,AWAITING REVIEW,Not Applicable,2024-06-10T14:10:23.469000Z,2024-06-10T14:16:32.222000Z,,2024-06-10T14:17:39.313627Z,369,CYLPZ8FB,142,29,Female,White,United States,United Kingdom,United States,English,No,DATA_EXPIRED
66670979808112fea16e4789,6666fb182e89da7f221c3a78,AWAITING REVIEW,Not Applicable,2024-06-10T14:11:32.036000Z,2024-06-10T14:20:30.803000Z,,2024-06-10T14:20:31.336263Z,539,CYLPZ8FB,0,27,Male,Mixed,Australia,Australia,Australia,English,Yes,Unemployed (and job seeking)
666714fa92d418adbbb7279f,60a8bd22d03adbe92cbb9a5e,AWAITING REVIEW,Not Applicable,2024-06-10T15:00:53.551000Z,2024-06-10T15:11:51.886000Z,,2024-06-10T15:11:53.096484Z,659,CYLPZ8FB,521,25,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
66670959704ccaf50643c72e,5f1f22c17a999c0d0f54e9a7,TIMED-OUT,Not Applicable,2024-06-10T14:10:37.842000Z,,,,324749,,70,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
