Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
665e012d0017e96c7c3f0066,60d0ead827bdcce9869be293,APPROVED,Not Applicable,2024-06-03T17:45:22.264000Z,2024-06-03T17:54:16.542000Z,2024-06-10T14:16:09.475000Z,2024-06-03T17:54:17.007900Z,535.0,C9MPDOEC,272,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
665e014839825998f9be4d67,5a465b1756ec1100014a317f,APPROVED,Not Applicable,2024-06-03T17:45:50.177000Z,2024-06-03T17:54:59.815000Z,2024-06-10T14:16:09.785000Z,2024-06-03T17:55:00.410028Z,550.0,C9MPDOEC,789,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
665e014e2f40cd78894d334f,5f78e7a0d14cd84e060fde57,APPROVED,Not Applicable,2024-06-03T17:46:00.024000Z,2024-06-03T17:58:14.381000Z,2024-06-10T14:16:10.017000Z,2024-06-03T17:58:14.848308Z,735.0,C9MPDOEC,734,39,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
665e01603b66774e7cfa5c41,62b33e90d4a7c3f314f45ba6,APPROVED,Not Applicable,2024-06-03T17:46:17.474000Z,2024-06-03T18:02:07.775000Z,2024-06-10T14:16:10.367000Z,2024-06-03T18:02:08.811541Z,951.0,C9MPDOEC,690,49,Female,White,Australia,United Kingdom,United Kingdom,English,No,Full-Time
665e0163abf4de6c56cc78db,6658e643481baf7b751a69e7,RETURNED,Not Applicable,2024-06-03T17:46:24.902000Z,,,2024-06-04T09:22:31.129608Z,,,0,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665e0169f1b1b81b97c8650e,664a649933d260dd95631f78,APPROVED,Not Applicable,2024-06-03T17:47:25.717000Z,2024-06-03T17:53:36.040000Z,2024-06-10T14:16:10.713000Z,2024-06-03T17:53:36.790656Z,371.0,C9MPDOEC,25,27,Female,White,Canada,Canada,Canada,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
665e019b1c2f04b05d0588e9,665df7d58501a55e990b773a,APPROVED,Not Applicable,2024-06-03T17:47:18.104000Z,2024-06-03T17:54:17.878000Z,2024-06-10T14:16:11.034000Z,2024-06-03T17:54:18.327804Z,420.0,C9MPDOEC,0,28,Male,White,Canada,Canada,Canada,English,No,DATA_EXPIRED
665e019f067d2e96b0519735,663f3c1f89f2441837da529c,APPROVED,Not Applicable,2024-06-03T17:47:19.799000Z,2024-06-03T17:56:34.459000Z,2024-06-10T14:16:11.350000Z,2024-06-03T17:56:35.048455Z,555.0,C9MPDOEC,12,29,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
665e01b168c85f9010e6bceb,5d6287ad72df0c0001c01743,APPROVED,Not Applicable,2024-06-03T17:47:56.573000Z,2024-06-03T17:51:34.189000Z,2024-06-10T14:16:11.605000Z,2024-06-03T17:52:14.421316Z,218.0,C9MPDOEC,135,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
665e01baafcfff35e75c5db6,664cd2ad9890dd0635623687,APPROVED,Not Applicable,2024-06-03T17:47:50.646000Z,2024-06-03T17:54:08.551000Z,2024-06-10T14:16:11.815000Z,2024-06-03T17:54:09.105220Z,378.0,C9MPDOEC,0,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
665e01beded791cf8ebba4bc,558996f2fdf99b7ae47f5ed2,RETURNED,Not Applicable,2024-06-03T17:47:46.269000Z,,,2024-06-04T09:22:31.145424Z,,,3522,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665e01d69c2d59430c0b9fb8,664e2b422592c45b88004d2b,APPROVED,Not Applicable,2024-06-03T17:48:13.494000Z,2024-06-03T17:59:25.528000Z,2024-06-10T14:16:12.033000Z,2024-06-03T17:59:32.875579Z,673.0,C9MPDOEC,0,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
665e01da244686f6c113c21c,6658d57e96aa5518f7414d69,APPROVED,Not Applicable,2024-06-03T17:48:49.849000Z,2024-06-03T17:55:25.543000Z,2024-06-10T14:16:12.704000Z,2024-06-03T17:55:26.478241Z,396.0,C9MPDOEC,2,24,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
665e01f7ec41e6f6e30fdcec,6658c3323d9230d99c3e668a,APPROVED,Not Applicable,2024-06-03T17:48:48.469000Z,2024-06-03T18:02:02.356000Z,2024-06-10T14:16:13.065000Z,2024-06-03T18:02:04.081218Z,794.0,C9MPDOEC,2,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
665e01f9f2f015a9258154b1,5fd50a355025422fd25bb05b,APPROVED,Not Applicable,2024-06-03T17:48:48.491000Z,2024-06-03T17:58:11.405000Z,2024-06-10T14:16:13.460000Z,2024-06-03T17:58:11.888383Z,563.0,C9MPDOEC,673,28,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
665e01fcd468e427a5d178d9,5e77fed7cce2a238627ce1a2,RETURNED,Not Applicable,2024-06-03T17:59:00.065000Z,,,2024-06-04T09:22:31.194723Z,,,1230,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665e02049a5936a0c0d399cb,5f50d22cf5bba925b11f229c,APPROVED,Not Applicable,2024-06-03T17:49:25.287000Z,2024-06-03T17:57:20.045000Z,2024-06-10T14:16:13.798000Z,2024-06-03T17:57:20.768595Z,475.0,C9MPDOEC,531,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
665e0207a1af69f4bcaf1479,664cd1e1f2a2947b498f2762,APPROVED,Not Applicable,2024-06-03T17:49:01.771000Z,2024-06-03T17:57:55.246000Z,2024-06-10T14:16:14.130000Z,2024-06-03T17:57:55.681258Z,534.0,C9MPDOEC,5,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e020ca1af69f4bcaf147c,6385fd4f0e0133c619851b7e,APPROVED,Not Applicable,2024-06-03T17:49:00.175000Z,2024-06-03T17:56:51.034000Z,2024-06-10T14:16:14.457000Z,2024-06-03T17:56:51.763948Z,471.0,C9MPDOEC,882,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
665e021d3d30f173b9ba4a8b,65e99c2f016b0c61012129fb,APPROVED,Not Applicable,2024-06-03T17:49:24.314000Z,2024-06-03T17:58:19.967000Z,2024-06-10T14:16:14.824000Z,2024-06-03T17:58:20.424974Z,536.0,C9MPDOEC,176,25,Male,White,Bangladesh,United States,United States,English,DATA_EXPIRED,Full-Time
665e022413a7d2ff2fb87f14,6630f33cc3e241376d6d7440,APPROVED,Not Applicable,2024-06-03T17:49:35.491000Z,2024-06-03T18:07:19.391000Z,2024-06-10T14:16:53.737000Z,2024-06-03T18:07:19.975415Z,1064.0,NOCODE,0,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
665e023468c85f9010e6bd12,60cd0aa508a6b4672ebaf36e,APPROVED,Not Applicable,2024-06-03T17:50:38.124000Z,2024-06-03T17:55:34.839000Z,2024-06-10T14:16:15.035000Z,2024-06-03T17:55:35.351355Z,297.0,C9MPDOEC,848,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e0239635c96bbed631b22,6161d04728e9219d0ec02aad,TIMED-OUT,Not Applicable,2024-06-03T17:49:49.490000Z,,,2024-06-04T09:22:31.205301Z,55962.0,,209,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
665e023dc5554a46a674c931,593533d4ed2e9a0001d37c0b,APPROVED,Not Applicable,2024-06-03T17:50:39.630000Z,2024-06-03T17:55:54.735000Z,2024-06-10T14:16:15.265000Z,2024-06-03T17:55:55.186370Z,316.0,C9MPDOEC,2073,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
665e0244f2f015a9258154c8,5fbaf990efe4a5bcf223f9d7,APPROVED,Not Applicable,2024-06-03T17:50:39.392000Z,2024-06-03T18:10:12.442000Z,2024-06-10T14:16:15.633000Z,2024-06-03T18:10:12.904975Z,1174.0,C9MPDOEC,212,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
665e0248635c96bbed631b29,5c97abbfae71890001f15e08,APPROVED,Not Applicable,2024-06-03T17:50:06.033000Z,2024-06-03T17:56:06.393000Z,2024-06-10T14:16:16.002000Z,2024-06-03T17:56:06.965120Z,361.0,C9MPDOEC,1595,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
665e024bdfcb453b2838c45d,5b523eca7aceb00001841d71,APPROVED,Not Applicable,2024-06-03T17:50:37.730000Z,2024-06-03T17:58:14.968000Z,2024-06-10T14:16:16.434000Z,2024-06-03T17:58:15.507845Z,458.0,C9MPDOEC,154,28,Female,White,United States,United States,United States,English,No,Full-Time
665e025035d73b1096c8652a,6654befdd0312b303ebc6804,APPROVED,Not Applicable,2024-06-03T17:56:35.378000Z,2024-06-03T18:11:49.689000Z,2024-06-10T14:16:16.791000Z,2024-06-03T18:11:50.180133Z,915.0,NOCODE,2,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e0258327b3ae3e3b7ce19,61671a9d42eb53946faa44c2,APPROVED,Not Applicable,2024-06-03T17:50:16.107000Z,2024-06-03T17:56:13.316000Z,2024-06-10T14:16:17.128000Z,2024-06-03T17:56:13.723099Z,358.0,C9MPDOEC,1902,43,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
665e025f1bb7e47e00815407,65d5cccd58b48e4435f18b34,APPROVED,Not Applicable,2024-06-03T17:50:27.551000Z,2024-06-03T17:56:35.401000Z,2024-06-10T14:16:17.484000Z,2024-06-03T17:56:35.836597Z,368.0,C9MPDOEC,53,26,Female,White,United States,Germany,United States,English,Yes,Part-Time
665e026b39fbf0b54bab1655,64a83c3f17fdbbd04588c34a,APPROVED,Not Applicable,2024-06-03T17:50:42.033000Z,2024-06-03T17:55:03.538000Z,2024-06-10T14:16:18.017000Z,2024-06-03T17:55:04.135025Z,262.0,C9MPDOEC,297,30,Male,White,Canada,Canada,Canada,English,No,Part-Time
665e0277327b3ae3e3b7ce21,5b27c1c0e180f5000108a416,APPROVED,Not Applicable,2024-06-03T17:50:57.084000Z,2024-06-03T17:56:34.153000Z,2024-06-10T14:16:18.367000Z,2024-06-03T17:56:34.530237Z,338.0,C9MPDOEC,218,38,Female,Black,DATA_EXPIRED,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
665e02849f954add34cde797,66129242d9f0e76c938af158,APPROVED,Not Applicable,2024-06-03T17:51:10.455000Z,2024-06-03T17:57:03.765000Z,2024-06-10T14:16:18.631000Z,2024-06-03T17:57:04.716706Z,354.0,C9MPDOEC,62,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
665e0284b59928f99ecde78c,62c42e4aa25cdbb064c13257,APPROVED,Not Applicable,2024-06-03T17:51:04.054000Z,2024-06-03T17:55:30.299000Z,2024-06-10T14:16:18.840000Z,2024-06-03T17:55:30.733463Z,267.0,C9MPDOEC,513,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
665e0285676bba296016a713,60cb65c515cfa129ad82fde6,APPROVED,Not Applicable,2024-06-03T17:51:07.141000Z,2024-06-03T17:55:10.593000Z,2024-06-10T14:16:19.180000Z,2024-06-03T17:55:11.204150Z,244.0,C9MPDOEC,38,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e029c4217927bf1ec8151,6658f7629b9cd1a0f1a266a9,RETURNED,Not Applicable,2024-06-03T17:51:39.214000Z,,,2024-06-04T09:22:31.151414Z,,,1,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665e02b4abf4de6c56cc7946,612c124ca9de71dbaebdee34,RETURNED,Not Applicable,2024-06-03T18:02:00.362000Z,,,2024-06-04T09:22:31.159333Z,,,922,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665e02b7c8911d9979166923,5c71ec3f2d666100018c6fee,APPROVED,Not Applicable,2024-06-03T17:51:51.767000Z,2024-06-03T17:54:16.769000Z,2024-06-10T14:16:19.463000Z,2024-06-03T17:54:17.242714Z,146.0,C9MPDOEC,498,23,Male,Asian,Canada,Canada,Canada,English,No,Full-Time
665e02b82758155528c87188,5c89510e12c937001745a2ed,APPROVED,Not Applicable,2024-06-03T17:52:00.290000Z,2024-06-03T18:02:00.754000Z,2024-06-10T14:16:19.912000Z,2024-06-03T18:02:03.323169Z,601.0,C9MPDOEC,884,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
665e02ba7f88499b1f35689a,614b2ae5644dcd015db6fc7f,APPROVED,Not Applicable,2024-06-03T17:54:19.809000Z,2024-06-03T17:59:06.249000Z,2024-06-10T14:16:20.276000Z,2024-06-03T17:59:16.295562Z,287.0,C9MPDOEC,957,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e02bb39825998f9be4ddb,5c259ddd0091e40001c9bcc0,APPROVED,Not Applicable,2024-06-03T17:52:30.348000Z,2024-06-03T17:57:45.619000Z,2024-06-10T14:16:20.627000Z,2024-06-03T17:57:46.188223Z,316.0,C9MPDOEC,1595,44,Male,Asian,Vietnam,Australia,Vietnam,English,No,Full-Time
665e02bbdd0a82eed8347667,64835b5840bc93bf8c400aeb,APPROVED,Not Applicable,2024-06-03T17:53:24.757000Z,2024-06-03T17:58:30.521000Z,2024-06-10T14:16:21.007000Z,2024-06-03T17:58:31.587078Z,306.0,C9MPDOEC,458,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e02bc741d099caeb6941d,665c9181ba703d4ee2074f26,APPROVED,Not Applicable,2024-06-03T17:53:36.637000Z,2024-06-03T17:58:52.972000Z,2024-06-10T14:16:21.439000Z,2024-06-03T17:59:04.716652Z,317.0,C9MPDOEC,1,29,Male,Black,Somalia,United Kingdom,Sweden,English,No,DATA_EXPIRED
665e02bcdbbf9d7d418510a6,65eafb38d4dbecee9b94fa0f,APPROVED,Not Applicable,2024-06-03T17:52:25.963000Z,2024-06-03T18:04:31.166000Z,2024-06-10T14:16:21.813000Z,2024-06-03T18:05:05.146666Z,726.0,C9MPDOEC,90,54,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
665e02bf6ae0b84134519cd7,642afd0494dc78e792de57ba,APPROVED,Not Applicable,2024-06-03T17:52:02.625000Z,2024-06-03T17:57:33.586000Z,2024-06-10T14:16:22.079000Z,2024-06-03T17:57:34.186856Z,331.0,C9MPDOEC,79,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e02c99a5936a0c0d399fb,6658b476f525efdb502d6fa6,APPROVED,Not Applicable,2024-06-03T17:53:50.953000Z,2024-06-03T18:01:29.308000Z,2024-06-10T14:16:22.294000Z,2024-06-03T18:01:33.447109Z,459.0,C9MPDOEC,0,26,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Unemployed (and job seeking)
